2024-06-19 09:42:29 status half-installed gpgsm:amd64 2.2.40-3
2024-06-19 09:42:30 status unpacked gpgsm:amd64 2.2.40-3
2024-06-19 09:42:30 install gnupg:all <none> 2.2.40-3
2024-06-19 09:42:30 status half-installed gnupg:all 2.2.40-3
2024-06-19 09:42:30 status unpacked gnupg:all 2.2.40-3
2024-06-19 09:42:30 install javascript-common:all <none> 11+nmu1
2024-06-19 09:42:30 status half-installed javascript-common:all 11+nmu1
2024-06-19 09:42:30 status unpacked javascript-common:all 11+nmu1
2024-06-19 09:42:30 install libalgorithm-diff-perl:all <none> 1.201-1
2024-06-19 09:42:30 status half-installed libalgorithm-diff-perl:all 1.201-1
2024-06-19 09:42:30 status unpacked libalgorithm-diff-perl:all 1.201-1
2024-06-19 09:42:30 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-8+b3
2024-06-19 09:42:30 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-8+b3
2024-06-19 09:42:30 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-8+b3
2024-06-19 09:42:30 install libalgorithm-merge-perl:all <none> 0.08-5
2024-06-19 09:42:30 status half-installed libalgorithm-merge-perl:all 0.08-5
2024-06-19 09:42:30 status unpacked libalgorithm-merge-perl:all 0.08-5
2024-06-19 09:42:30 install libexpat1-dev:amd64 <none> 2.6.2-1
2024-06-19 09:42:30 status half-installed libexpat1-dev:amd64 2.6.2-1
2024-06-19 09:42:30 status unpacked libexpat1-dev:amd64 2.6.2-1
2024-06-19 09:42:30 install libfile-fcntllock-perl:amd64 <none> 0.22-4+b3
2024-06-19 09:42:30 status half-installed libfile-fcntllock-perl:amd64 0.22-4+b3
2024-06-19 09:42:30 status unpacked libfile-fcntllock-perl:amd64 0.22-4+b3
2024-06-19 09:42:30 install libjs-jquery:all <none> 3.6.1+dfsg+~3.5.14-1
2024-06-19 09:42:30 status half-installed libjs-jquery:all 3.6.1+dfsg+~3.5.14-1
2024-06-19 09:42:30 status unpacked libjs-jquery:all 3.6.1+dfsg+~3.5.14-1
2024-06-19 09:42:30 install libjs-underscore:all <none> 1.13.4~dfsg+~1.11.4-3
2024-06-19 09:42:30 status half-installed libjs-underscore:all 1.13.4~dfsg+~1.11.4-3
2024-06-19 09:42:30 status unpacked libjs-underscore:all 1.13.4~dfsg+~1.11.4-3
2024-06-19 09:42:30 install libjs-sphinxdoc:all <none> 7.2.6-6
2024-06-19 09:42:30 status half-installed libjs-sphinxdoc:all 7.2.6-6
2024-06-19 09:42:30 status unpacked libjs-sphinxdoc:all 7.2.6-6
2024-06-19 09:42:30 install libpython3.11t64:amd64 <none> 3.11.9-1
2024-06-19 09:42:30 status half-installed libpython3.11t64:amd64 3.11.9-1
2024-06-19 09:42:31 status unpacked libpython3.11t64:amd64 3.11.9-1
2024-06-19 09:42:31 install zlib1g-dev:amd64 <none> 1:1.3.dfsg-3.1
2024-06-19 09:42:31 status half-installed zlib1g-dev:amd64 1:1.3.dfsg-3.1
2024-06-19 09:42:31 status unpacked zlib1g-dev:amd64 1:1.3.dfsg-3.1
2024-06-19 09:42:31 install libpython3.11-dev:amd64 <none> 3.11.9-1
2024-06-19 09:42:31 status half-installed libpython3.11-dev:amd64 3.11.9-1
2024-06-19 09:42:31 status unpacked libpython3.11-dev:amd64 3.11.9-1
2024-06-19 09:42:31 install libpython3-dev:amd64 <none> 3.11.8-1
2024-06-19 09:42:31 status half-installed libpython3-dev:amd64 3.11.8-1
2024-06-19 09:42:31 status unpacked libpython3-dev:amd64 3.11.8-1
2024-06-19 09:42:31 install manpages-dev:all <none> 6.05.01-1
2024-06-19 09:42:31 status half-installed manpages-dev:all 6.05.01-1
2024-06-19 09:42:32 status unpacked manpages-dev:all 6.05.01-1
2024-06-19 09:42:32 install python3.11-dev:amd64 <none> 3.11.9-1
2024-06-19 09:42:32 status half-installed python3.11-dev:amd64 3.11.9-1
2024-06-19 09:42:32 status unpacked python3.11-dev:amd64 3.11.9-1
2024-06-19 09:42:32 install python3-lib2to3:all <none> 3.12.3-1
2024-06-19 09:42:32 status half-installed python3-lib2to3:all 3.12.3-1
2024-06-19 09:42:32 status unpacked python3-lib2to3:all 3.12.3-1
2024-06-19 09:42:32 install python3-distutils:all <none> 3.12.3-1
2024-06-19 09:42:32 status half-installed python3-distutils:all 3.12.3-1
2024-06-19 09:42:32 status unpacked python3-distutils:all 3.12.3-1
2024-06-19 09:42:32 install python3-dev:amd64 <none> 3.11.8-1
2024-06-19 09:42:32 status half-installed python3-dev:amd64 3.11.8-1
2024-06-19 09:42:32 status unpacked python3-dev:amd64 3.11.8-1
2024-06-19 09:42:32 install python3-wheel:all <none> 0.43.0-1
2024-06-19 09:42:32 status half-installed python3-wheel:all 0.43.0-1
2024-06-19 09:42:32 status unpacked python3-wheel:all 0.43.0-1
2024-06-19 09:42:32 install python3-pip:all <none> 24.0+dfsg-2
2024-06-19 09:42:32 status half-installed python3-pip:all 24.0+dfsg-2
2024-06-19 09:42:32 status unpacked python3-pip:all 24.0+dfsg-2
2024-06-19 09:42:32 startup packages configure
2024-06-19 09:42:32 configure libksba8:amd64 1.6.6-1 <none>
2024-06-19 09:42:32 status unpacked libksba8:amd64 1.6.6-1
